,type_of_intervention,data_start,date_end,locality,state,country,citation,entered_by,further_notes_comments,Unnamed: 9
232,SOE,3/11/2020,4/1/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/mayor-bowser-declares-public-health-emergency,Carina,Declared state of emergency and public health emergency,
233,GS_250,3/11/2020,4/1/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/mayor-bowser-declares-public-health-emergency,Carina,Prohibited gatherings with >250 people,
235,PC,3/16/2020,4/1/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/mayor-bowser-adjusts-district-columbia-government%E2%80%99s-operating-status,Carina,Switch schools to online learning only,
236,GS_50,3/16/2020,4/1/2020,washington_dc,DC,USA,https://mayor.dc.gov/sites/default/files/dc/sites/mayormb/publication/attachments/MO-Prohibition-on-Mass-Gatherings-During-Public-Health-Emergency.pdf,Carina,Prohibited gatherings with >50 people,
237,NESC,3/17/2020,4/1/2020,washington_dc,DC,USA,https://mayor.dc.gov/sites/default/files/dc/sites/mayormb/publication/attachments/MO-Prohibition-on-Mass-Gatherings-During-Public-Health-Emergency.pdf,Carina,"Closing of businesses where there are >50 people (restaurants, gyms, etc.)",
238,CMT,3/19/2020,,washington_dc,DC,USA,https://coronavirus.dc.gov/release/ddot-suspends-dc-circulator-fares,Carina,DC Circulator suspends service on one route,
239,PC,3/20/2020,4/27/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/mayor-bowser-extends-modified-district-operating-status-and-prohibition-mass-gatherings,Carina,School closures extended until April 27,
240,GS_50,3/20/2020,4/25/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/mayor-bowser-extends-modified-district-operating-status-and-prohibition-mass-gatherings,Carina,Mass gathering prohibition extended until April 25,
214,TR_China,2/3/2020,,washington_dc,DC,USA,http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2235,Carina,Nation-wide restriction of foreigners who have traveled to China in the past 14 days,
53,CI,3/20/2020,,wayne_county,MI,USA,https://detroitmi.gov/sites/detroitmi.localhost/files/2020-03/COVID_COVIDPositive_03.20.pdf,Megan,informational sheet becomes available,
54,HQ,3/20/2020,,wayne_county,MI,USA,https://detroitmi.gov/sites/detroitmi.localhost/files/2020-03/COVID_Exposed_03.20.pdf,Megan,informational sheet becomes available,
55,SD,3/17/2020,,wayne_county,MI,USA,https://www.facebook.com/waynecountymi/,Megan,county facebook page begins posting on social distancing,
56,PC,3/13/2020,4/3/2020,wayne_county,MI,USA,https://www.detroitk12.org/site/default.aspx?PageType=14&DomainID=5833&PageID=10827&ModuleInstanceID=21379&ViewID=e7972794-1ebe-443a-a7ad-dcf4d20e6f11&IsMoreExpandedView=True,Megan,detroit closes schools,
57,PC,3/16/2020,4/3/2020,wayne_county,MI,USA,https://www.clickondetroit.com/school_closings/,Megan,other districts follow suit,
58,PTQS,no date,no date,wayne_county,MI,USA,https://www.cdc.gov/quarantine/stations/detroit.html,Megan,CDC quarantine location within county,
59,CPV,3/13/2020,4/13/2020,wayne_county,MI,USA,https://www.facebook.com/waynecountymi/,Megan,county closure of events,
60,CPV,3/16/2020,3/30/2020,wayne_county,MI,USA,https://www.facebook.com/waynecountymi/,Megan,"bars, restaurants, theaters close",
61,CMT,3/17/2020,3/17/2020,wayne_county,MI,USA,https://detroit.curbed.com/2020/3/12/21176549/coronavirus-covid-detroit-ddot-bus-cancel,Megan,transit closed for the day due to covid-related driver shortage,
62,NESC,3/16/2020,3/29/2020,wayne_county,MI,USA,https://www.thenewsherald.com/news/county-non-essential-employees-on-two-week-furlough-events-canceled/article_79d3f8c8-656d-11ea-9320-13d17378d79f.html,Megan,non-essential county employees placed on furlough,
63,HE,3/15/2020,,wayne_county,MI,USA,https://www.facebook.com/waynecountymi/,Megan,county facebook page begins posting handwashing information,
214,TR_China,2/3/2020,,wayne_county,MI,USA,http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2235,Carina,Nation-wide restriction of foreigners who have traveled to China in the past 14 days,
743,CI,3/3/2020,,westchester_county,NY,USA,https://www.amny.com/health/second-coronavirus-case-in-new-york-state-reported-in-westchester-county/,Chris,first case in Westchester,
746,HQ,3/6/2020,,westchester_county,NY,USA,https://nypost.com/2020/03/06/coronavirus-in-ny-11-more-people-test-positive-in-state-bringing-total-to-33/,Chris,those in contact with first case were ordered to self-quarantine until at least March 14,
747,SOE,3/7/2020,,westchester_county,NY,USA,https://nypost.com/2020/03/07/cuomo-declares-state-of-emergency-as-new-york-state-coronavirus-cases-soar-to-76/,Chris,statewide,
750,GS_500,3/13/2020,,westchester_county,NY,USA,https://www.lohud.com/story/news/2020/03/13/new-yorks-ban-large-events-limit-capacity-restaurant-bar/5042869002/,Chris,"statewide, announcement was on 3/12/2020",
752,SOE,3/16/2020,,westchester_county,NY,USA,https://westchestermagazine.com/life-style/news/coronavirus-in-westchester/,Chris,local state of emergency,
753,PC,3/16/2020,,westchester_county,NY,USA,https://westchestermagazine.com/life-style/news/coronavirus-in-westchester/,Chris,all public and private schools in county close,
754,CPV,3/16/2020,,westchester_county,NY,USA,https://westchestermagazine.com/life-style/news/coronavirus-in-westchester/,Chris,"statewide closure of gyms, movie theaters, restaurants/bars (other than takeout/delivery)",
755,PL,3/19/2020,,westchester_county,NY,USA,https://westchestermagazine.com/life-style/news/coronavirus-in-westchester/,Chris,statewide bill guaranteeing paid sick leave to NYers quarantied by COVID,
756,NESC,3/20/2020,,westchester_county,NY,USA,https://westchestermagazine.com/life-style/news/coronavirus-in-westchester/,Chris,statewide all non-essential workers remain home,
759,HE,3/13/2020,,westchester_county,NY,USA,https://health.westchestergov.com/2019-novel-coronavirus,Chris,Westchester provides guidance for schools,
760,HE,3/15/2020,,westchester_county,NY,USA,https://health.westchestergov.com/2019-novel-coronavirus,Chris,Westchester provides guidance for all,
214,TR_China,2/3/2020,,westchester_county,NY,USA,http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2235,Carina,Nation-wide restriction of foreigners who have traveled to China in the past 14 days,
200,CMT,1/23/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200123_304065.html,Tyler,"Closing of all mass transit options in and out of Wuhan, including trains, subways, buses, flights, taxis",
201,HE,1/23/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200123_304118.html,Tyler,Mandate wearing of masks in all public venues,
